route,lang,kategorie,slug,titel,beschreibung,hat_webp,hat_png,hat_og,de_pendant,datei,meta_datei,hinweis
/compliance/verbotene-ai-praktiken,de,compliance,verbotene-ai-praktiken,Verbotene AI-Praktiken nach EU AI Act,"Article 5 verbietet bestimmte KI-Praktiken. Social Scoring, Emotion Recognition, Biometrische Überwachung - was seit Feb 2025 verboten ist.",/images/hero-2026-08/de/compliance/verbotene-ai-praktiken.webp,/images/infographics/verbotene-ai-praktiken.png,ja,,app/(de)/compliance/verbotene-ai-praktiken/page.tsx,app/(de)/compliance/verbotene-ai-praktiken/page.tsx,
/compliance/verifywise-integration,de,compliance,verifywise-integration,VerifyWise — Open-Source-Tool für EU AI Act Compliance,"VerifyWise ist ein Open-Source-Tool für AI-Governance, Risk und Compliance — speziell für EU AI Act und ISO 42001. Funktionen, Self-Hosting-Setup und Einordnung für DACH-KMUs.",/images/hero-2026-08/de/compliance/verifywise-integration.webp,,ja,,app/(de)/compliance/verifywise-integration/page.tsx,app/(de)/compliance/verifywise-integration/page.tsx,
/en/compliance/ai-agent-legal-framework,en,compliance,ai-agent-legal-framework,AI Agent Legal Framework — EU AI Act Compliance,"How to deploy AI agents legally: EU AI Act, GDPR, risk assessment, compliance documents and hash chain for tamper-proof documentation.",/images/hero-2026-08/en/compliance/ai-agent-legal-framework.webp,,ja,/compliance/ai-agent-legal-framework,app/en/compliance/ai-agent-legal-framework/page.tsx,app/en/compliance/ai-agent-legal-framework/page.tsx,
/en/compliance/chatbot-transparenzpflichten,en,compliance,chatbot-transparenzpflichten,Chatbot Transparency Obligations under EU AI Act,"What you need to know about chatbots and AI-generated content. Labeling requirements, disclosure, copyright — all in one place.",/images/hero-2026-08/en/compliance/chatbot-transparenzpflichten.webp,/images/infographics/chatbot-transparenzpflichten.png,ja,/compliance/chatbot-transparenzpflichten,app/en/compliance/chatbot-transparenzpflichten/page.tsx,app/en/compliance/chatbot-transparenzpflichten/page.tsx,
/en/compliance/datenschutz-praxis,en,compliance,datenschutz-praxis,Privacy Practices,"Practical implementation — TOM, DPA, documentation, data subject rights.",/images/hero-2026-08/en/compliance/datenschutz-praxis.webp,/images/infographics/datenschutz-tom-uebersicht.png,ja,/compliance/datenschutz-praxis,app/en/compliance/datenschutz-praxis/page.tsx,app/en/compliance/datenschutz-praxis/page.tsx,
/en/compliance/dpia,en,compliance,dpia,Data Protection Impact Assessment (DPIA),"DPIA for AI systems: When is a Data Protection Impact Assessment required, how to conduct one, and what to document.",/images/hero-2026-08/en/compliance/dpia.webp,/images/diagrams/dpia-6-schritte-flow.png,ja,/compliance/dpia,app/en/compliance/dpia/page.tsx,app/en/compliance/dpia/page.tsx,
/en/compliance/dsgvo-grundlagen,en,compliance,dsgvo-grundlagen,GDPR Basics,"What does GDPR mean for AI applications? Data protection, consent, retention.",/images/hero-2026-08/en/compliance/dsgvo-grundlagen.webp,/images/generated/hero-dsgvo-compliance.png,ja,/compliance/dsgvo-grundlagen,app/en/compliance/dsgvo-grundlagen/page.tsx,app/en/compliance/dsgvo-grundlagen/page.tsx,
/en/compliance/eu-ai-act,en,compliance,eu-ai-act,EU AI Act,"Risk classes, prohibitions, transparency requirements for AI systems in the EU.",/images/hero-2026-08/en/compliance/eu-ai-act.webp,/images/generated/hero-eu-ai-act.png,ja,/compliance/eu-ai-act,app/en/compliance/eu-ai-act/page.tsx,app/en/compliance/eu-ai-act/page.tsx,
/en/compliance/eu-ai-act-checkliste,en,compliance,eu-ai-act-checkliste,EU AI Act Compliance Checklist,"Your 7-step guide to EU AI Act readiness. Risk classes, transparency requirements, prohibitions - everything compact.",/images/hero-2026-08/en/compliance/eu-ai-act-checkliste.webp,/images/infographics/eu-ai-act-7-schritte-checkliste.png,ja,/compliance/eu-ai-act-checkliste,app/en/compliance/eu-ai-act-checkliste/page.tsx,app/en/compliance/eu-ai-act-checkliste/page.tsx,
/en/compliance/ki-kompetenz-art4,en,compliance,ki-kompetenz-art4,AI Literacy under Art. 4 EU AI Act,"Art. 4 EU AI Act: AI literacy obligation applies since Feb 2, 2025. Enforcement from Aug 2026, penalties up to EUR 15M. Practical guide for SMEs.",/images/hero-2026-08/en/compliance/ki-kompetenz-art4.webp,/images/infographics/ki-kompetenz-betroffen-matrix.png,ja,/compliance/ki-kompetenz-art4,app/en/compliance/ki-kompetenz-art4/page.tsx,app/en/compliance/ki-kompetenz-art4/page.tsx,
/en/compliance/self-assessment,en,compliance,self-assessment,EU AI Act Readiness Check,Interactive 10-question self-assessment: how prepared is your company for the EU AI Act?,/images/hero-2026-08/en/compliance/self-assessment.webp,,,/compliance/self-assessment,app/en/compliance/self-assessment/page.tsx,app/en/compliance/self-assessment/layout.tsx,
/en/compliance/verbotene-ai-praktiken,en,compliance,verbotene-ai-praktiken,Prohibited AI Practices under EU AI Act,"Article 5 prohibits certain AI practices. Social Scoring, Emotion Recognition, Biometric Surveillance - what has been forbidden since Feb 2025.",/images/hero-2026-08/en/compliance/verbotene-ai-praktiken.webp,/images/infographics/verbotene-ai-praktiken.png,ja,/compliance/verbotene-ai-praktiken,app/en/compliance/verbotene-ai-praktiken/page.tsx,app/en/compliance/verbotene-ai-praktiken/page.tsx,
/en/grundlagen/30-tage-quickstart,en,grundlagen,30-tage-quickstart,30-Day Local AI-Stack Quickstart,"Build a local, GDPR-compliant AI stack in 30 days. Day-by-day guide: Docker, Ollama, n8n, monitoring.",/images/hero-2026-08/en/grundlagen/30-tage-quickstart.webp,/images/infographics/30-tage-quickstart-timeline.png,ja,/grundlagen/30-tage-quickstart,app/en/grundlagen/30-tage-quickstart/page.tsx,app/en/grundlagen/30-tage-quickstart/page.tsx,
/en/grundlagen/agent-rollen,en,grundlagen,agent-rollen,Agent Roles & Responsibilities,"Role model for Multi-Agent Systems: orchestrator, workers, QA/review and infra. Clear ownership, boundaries and escalation paths in practice.",/images/hero-2026-08/en/grundlagen/agent-rollen.webp,/images/diagrams/agent-rollen-pyramide.png,ja,/grundlagen/agent-rollen,app/en/grundlagen/agent-rollen/page.tsx,app/en/grundlagen/agent-rollen/page.tsx,
/en/grundlagen/ai-agent-team,en,grundlagen,ai-agent-team,Build an AI Agent Team,"How to build an AI agent team: agent types, roles, tool integration and guardrails. Designed for GDPR-compliant, self-hosted setups.",/images/hero-2026-08/en/grundlagen/ai-agent-team.webp,/images/diagrams/ai-agent-typen-uebersicht.png,ja,/grundlagen/ai-agent-team,app/en/grundlagen/ai-agent-team/page.tsx,app/en/grundlagen/ai-agent-team/page.tsx,
/en/grundlagen/ai-kosten-vergleich,en,grundlagen,ai-kosten-vergleich,AI Cost Comparison,"Realistic 2026 cost comparison: local vs cloud vs hybrid AI. Setup, ongoing cost, GPU/hardware and typical business workloads.",/images/hero-2026-08/en/grundlagen/ai-kosten-vergleich.webp,/images/infographics/ai-kosten-vergleich-balken.png,ja,/grundlagen/ai-kosten-vergleich,app/en/grundlagen/ai-kosten-vergleich/page.tsx,app/en/grundlagen/ai-kosten-vergleich/page.tsx,
/en/grundlagen/ki-unternehmen,en,grundlagen,ki-unternehmen,AI in the Enterprise,"Why companies use local AI: data privacy (GDPR), cost control, and operational sovereignty.",/images/hero-2026-08/en/grundlagen/ki-unternehmen.webp,/images/infographics/ki-unternehmen-4-saeulen.png,ja,/grundlagen/ki-unternehmen,app/en/grundlagen/ki-unternehmen/page.tsx,app/en/grundlagen/ki-unternehmen/page.tsx,
/en/grundlagen/lokal-vs-cloud,en,grundlagen,lokal-vs-cloud,Local vs Cloud: TCO Comparison,"TCO comparison for AI workloads: cloud APIs vs a local AI stack (Ollama, n8n, monitoring). Costs, risks, privacy and operations in practice.",/images/hero-2026-08/en/grundlagen/lokal-vs-cloud.webp,/images/infographics/lokal-vs-cloud-vergleich.png,ja,/grundlagen/lokal-vs-cloud,app/en/grundlagen/lokal-vs-cloud/page.tsx,app/en/grundlagen/lokal-vs-cloud/page.tsx,
/en/grundlagen/multi-agent-systeme,en,grundlagen,multi-agent-systeme,Multi-Agent Systems Explained,"How multiple AI agents work together, how they communicate, and why it beats a single LLM.",/images/hero-2026-08/en/grundlagen/multi-agent-systeme.webp,/images/diagrams/single-vs-multi-agent.png,ja,/grundlagen/multi-agent-systeme,app/en/grundlagen/multi-agent-systeme/page.tsx,app/en/grundlagen/multi-agent-systeme/page.tsx,
/en/grundlagen/ollama-vs-cloud,en,grundlagen,ollama-vs-cloud,Redirect: Local AI vs. Cloud,"This address redirects to the article ""Local AI vs. Cloud: the TCO comparison"".",,,,/grundlagen/ollama-vs-cloud,app/en/grundlagen/ollama-vs-cloud/page.tsx,app/en/grundlagen/ollama-vs-cloud/layout.tsx,REDIRECT: router.replace('/en/grundlagen/lokal-vs-cloud') — kein Motiv
/en/grundlagen/selfhosted-vs-cloud,en,grundlagen,selfhosted-vs-cloud,Redirect: Local AI vs. Cloud,"This address redirects to the article ""Local AI vs. Cloud: the TCO comparison"".",,,,/grundlagen/selfhosted-vs-cloud,app/en/grundlagen/selfhosted-vs-cloud/page.tsx,app/en/grundlagen/selfhosted-vs-cloud/layout.tsx,REDIRECT: router.replace('/en/grundlagen/lokal-vs-cloud') — kein Motiv
/en/grundlagen/was-ist-agent-orchestration,en,grundlagen,was-ist-agent-orchestration,What is Agent Orchestration?,"Agent Orchestration coordinates multiple specialized AI agents. Roles, communication flow, and why it beats a single LLM.",/images/hero-2026-08/en/grundlagen/was-ist-agent-orchestration.webp,/images/diagrams/agent-orchestration-diagram.png,ja,/grundlagen/was-ist-agent-orchestration,app/en/grundlagen/was-ist-agent-orchestration/page.tsx,app/en/grundlagen/was-ist-agent-orchestration/page.tsx,
/en/grundlagen/was-ist-ein-llm,en,grundlagen,was-ist-ein-llm,What is an LLM? Large Language Models Explained,"What is a Large Language Model (LLM)? How do Transformers, Tokens, and Inference work? Model sizes, VRAM requirements, and practical tips.",/images/hero-2026-08/en/grundlagen/was-ist-ein-llm.webp,/images/generated/hero-was-ist-llm.png,ja,/grundlagen/was-ist-ein-llm,app/en/grundlagen/was-ist-ein-llm/page.tsx,app/en/grundlagen/was-ist-ein-llm/page.tsx,
/en/papers/attention-is-all-you-need,en,papers,attention-is-all-you-need,Attention Is All You Need — Transformer Explained,"The Transformer paper by Vaswani et al. (2017) explained: Self-Attention, Multi-Head Attention and why this paper changed the entire AI landscape.",/images/hero-2026-08/en/papers/attention-is-all-you-need.webp,,ja,/papers/attention-is-all-you-need,app/en/papers/attention-is-all-you-need/page.tsx,app/en/papers/attention-is-all-you-need/page.tsx,
/en/papers/constitutional-ai,en,papers,constitutional-ai,Constitutional AI Explained,"The Constitutional AI paper by Bai et al. (2022, Anthropic) explained: How to align AI systems through principles instead of human feedback alone.",/images/hero-2026-08/en/papers/constitutional-ai.webp,,ja,/papers/constitutional-ai,app/en/papers/constitutional-ai/page.tsx,app/en/papers/constitutional-ai/page.tsx,
/en/papers/hierarchical-reasoning,en,papers,hierarchical-reasoning,Hierarchical Reasoning Model (2025) — Recurrent AI Without Chain-of-Thought,"The Hierarchical Reasoning Model (HRM) solves complex tasks like Sudoku, maze pathfinding and ARC with just 27M parameters and 1000 training samples — without Chain-of-Thought.",/images/hero-2026-08/en/papers/hierarchical-reasoning.webp,,ja,/papers/hierarchical-reasoning,app/en/papers/hierarchical-reasoning/page.tsx,app/en/papers/hierarchical-reasoning/page.tsx,
/en/papers/lora-paper,en,papers,lora-paper,LoRA: Low-Rank Adaptation Explained,The LoRA paper by Hu et al. (2021) explained: Parameter-efficient fine-tuning of large language models without retraining all weights.,/images/hero-2026-08/en/papers/lora-paper.webp,,ja,/papers/lora-paper,app/en/papers/lora-paper/page.tsx,app/en/papers/lora-paper/page.tsx,
/en/papers/rag-paper,en,papers,rag-paper,Retrieval-Augmented Generation (RAG) Paper Explained,The RAG paper by Lewis et al. (2020) explained: How LLMs become better and more reliable through external knowledge sources.,/images/hero-2026-08/en/papers/rag-paper.webp,,ja,/papers/rag-paper,app/en/papers/rag-paper/page.tsx,app/en/papers/rag-paper/page.tsx,
/en/papers/react-paper,en,papers,react-paper,ReAct: Reasoning and Acting Explained,The ReAct paper by Yao et al. (2022) explained: How LLMs become capable agents by alternating between thinking and acting.,/images/hero-2026-08/en/papers/react-paper.webp,,ja,/papers/react-paper,app/en/papers/react-paper/page.tsx,app/en/papers/react-paper/page.tsx,
/en/patterns/agent-orchestration-patterns,en,patterns,agent-orchestration-patterns,Agent Orchestration Patterns,"Proven orchestration patterns for Multi-Agent Systems: sequential, parallel, hierarchical, router, and supervisor.",/images/hero-2026-08/en/patterns/agent-orchestration-patterns.webp,/images/generated/hero-agent-orchestration.png,ja,/patterns/agent-orchestration-patterns,app/en/patterns/agent-orchestration-patterns/page.tsx,app/en/patterns/agent-orchestration-patterns/page.tsx,
/en/patterns/agent-skalierung,en,patterns,agent-skalierung,Scaling Agent Teams,"Add new agents, create multi-agent workflows, and scale an agent team: step-by-step guide with practical patterns.",/images/hero-2026-08/en/patterns/agent-skalierung.webp,,ja,/patterns/agent-skalierung,app/en/patterns/agent-skalierung/page.tsx,app/en/patterns/agent-skalierung/page.tsx,
/en/patterns/ai-agent-digital-employee,en,patterns,ai-agent-digital-employee,AI Agent as Digital Employee — Patterns & Architecture,"How to onboard an AI agent as a digital employee: security architecture, skill system, credential isolation and EU AI Act compliance.",/images/hero-2026-08/en/patterns/ai-agent-digital-employee.webp,,ja,/patterns/ai-agent-digitaler-mitarbeiter,app/en/patterns/ai-agent-digital-employee/page.tsx,app/en/patterns/ai-agent-digital-employee/page.tsx,
/en/patterns/evals-guardrails,en,patterns,evals-guardrails,Evals & Guardrails — Measuring and Securing LLM Quality,"LLM Evaluations, Guardrails, Prompt Injection Protection, Hallucination Detection. Tools: promptfoo, Langfuse, RAGAS. With n8n eval workflow example.",/images/hero-2026-08/en/patterns/evals-guardrails.webp,,ja,/patterns/evals-guardrails,app/en/patterns/evals-guardrails/page.tsx,app/en/patterns/evals-guardrails/page.tsx,
/en/patterns/heartbeat-monitoring,en,patterns,heartbeat-monitoring,Heartbeat & Monitoring,"How to know if agents are running. Health checks, status updates, alerting.",/images/hero-2026-08/en/patterns/heartbeat-monitoring.webp,,ja,/patterns/heartbeat-monitoring,app/en/patterns/heartbeat-monitoring/page.tsx,app/en/patterns/heartbeat-monitoring/page.tsx,
/en/patterns/human-in-the-loop,en,patterns,human-in-the-loop,Human-in-the-Loop — Human-AI Collaboration,"Approval workflows, escalation patterns, confidence thresholds, audit trail. EU AI Act Art. 14 human oversight. With n8n approval workflow example.",/images/hero-2026-08/en/patterns/human-in-the-loop.webp,/images/generated/hero-human-in-loop.png,ja,/patterns/human-in-the-loop,app/en/patterns/human-in-the-loop/page.tsx,app/en/patterns/human-in-the-loop/page.tsx,
/en/patterns/memory-management,en,patterns,memory-management,Memory Management Pattern,"How AI agents store and retrieve persistent knowledge. CLAUDE.md, Topic Files, Knowledge Graphs.",/images/hero-2026-08/en/patterns/memory-management.webp,/images/diagrams/patterns-memory-3tier.png,ja,/patterns/memory-management,app/en/patterns/memory-management/page.tsx,app/en/patterns/memory-management/page.tsx,
/en/patterns/safety-hooks,en,patterns,safety-hooks,Safety Hooks Pattern,"Guardrails, output validation, memory capture as automatic security layer.",/images/hero-2026-08/en/patterns/safety-hooks.webp,/images/diagrams/patterns-safety-hooks.png,ja,/patterns/safety-hooks,app/en/patterns/safety-hooks/page.tsx,app/en/patterns/safety-hooks/page.tsx,
/en/patterns/self-improving-agents,en,patterns,self-improving-agents,Self-Improving Agents — NemoClaw Pattern,"How AI agents learn from mistakes: 3-tier memory, corrections.md, pre-action gates, self-escalation and two-tier heartbeat.",/images/hero-2026-08/en/patterns/self-improving-agents.webp,/images/generated/hero-self-improving.png,ja,/patterns/self-improving-agents,app/en/patterns/self-improving-agents/page.tsx,app/en/patterns/self-improving-agents/page.tsx,
/en/patterns/task-delegation,en,patterns,task-delegation,Task Delegation Pattern,"Orchestrator assigns tasks to specialized agents. Routing, priorities, deadlines.",/images/hero-2026-08/en/patterns/task-delegation.webp,/images/diagrams/patterns-task-delegation.png,ja,/patterns/task-delegation,app/en/patterns/task-delegation/page.tsx,app/en/patterns/task-delegation/page.tsx,
/en/security/api-keys-sicher,en,security,api-keys-sicher,API Keys Secure Storage,"Vault, Environment Variables, Secrets Management for AI Stack.",/images/hero-2026-08/en/security/api-keys-sicher.webp,/images/generated/hero-security-keys.png,ja,/security/api-keys-sicher,app/en/security/api-keys-sicher/page.tsx,app/en/security/api-keys-sicher/page.tsx,
/en/security/backup-strategie,en,security,backup-strategie,Backup Strategy,"3-2-1 rule, automated backups for Ollama, n8n, PostgreSQL.",/images/hero-2026-08/en/security/backup-strategie.webp,/images/generated/hero-backup-recovery.png,ja,/security/backup-strategie,app/en/security/backup-strategie/page.tsx,app/en/security/backup-strategie/page.tsx,
/en/security/firewall-setup,en,security,firewall-setup,Firewall Setup,"UFW, fail2ban, network segmentation for local AI infrastructure.",/images/hero-2026-08/en/security/firewall-setup.webp,/images/diagrams/security-netzwerk.png,ja,/security/firewall-setup,app/en/security/firewall-setup/page.tsx,app/en/security/firewall-setup/page.tsx,
/en/security/self-hosted-sicherheit,en,security,self-hosted-sicherheit,Self-Hosted Security: The 6-Layer Model,"6 security layers for self-hosted AI infrastructure: network, SSH, firewall, containers, application, monitoring. Practical hands-on guide.",/images/hero-2026-08/en/security/self-hosted-sicherheit.webp,/images/diagrams/security-layers.png,ja,/security/self-hosted-sicherheit,app/en/security/self-hosted-sicherheit/page.tsx,app/en/security/self-hosted-sicherheit/page.tsx,
/en/security/verschluesselung,en,security,verschluesselung,"Encryption: At Rest, In Transit, In Use","Encryption for self-hosted AI: Protect data on disk, on the network, and during processing. LUKS, TLS, Confidential Computing explained.",/images/hero-2026-08/en/security/verschluesselung.webp,/images/infographics/security-encryption.png,ja,/security/verschluesselung,app/en/security/verschluesselung/page.tsx,app/en/security/verschluesselung/page.tsx,
/en/support/troubleshooting,en,support,troubleshooting,Troubleshooting,"Common problems with Ollama, n8n, Docker. Diagnosis and solutions.",/images/hero-2026-08/en/support/troubleshooting.webp,,ja,/support/troubleshooting,app/en/support/troubleshooting/page.tsx,app/en/support/troubleshooting/page.tsx,
/en/tools/ai-os-setup,en,tools,ai-os-setup,AI OS Setup Guide,"Set up Claude Code as an AI operating system: folder structure, business setup wizard, context files, and first commands in 15 minutes.",/images/hero-2026-08/en/tools/ai-os-setup.webp,,ja,/tools/ai-os-setup,app/en/tools/ai-os-setup/page.tsx,app/en/tools/ai-os-setup/page.tsx,
/en/tools/ai-stack-setup,en,tools,ai-stack-setup,AI Stack Setup in 30 Minutes: Ollama + Open WebUI + Docker,"Step-by-step: Install Ollama, download an LLM, start Open WebUI. Your own AI stack running locally in 30 minutes.",/images/hero-2026-08/en/tools/ai-stack-setup.webp,/images/screenshots/ollama-install.png,ja,/tools/ai-stack-setup,app/en/tools/ai-stack-setup/page.tsx,app/en/tools/ai-stack-setup/page.tsx,
/en/tools/ai-tools-database,en,tools,ai-tools-database,AI Tools Database,"Curated collection of tools for local AI infrastructure: LLM runtimes, chat interfaces, RAG, agents, monitoring and more.",/images/hero-2026-08/en/tools/ai-tools-database.webp,,,/tools/ai-tools-datenbank,app/en/tools/ai-tools-database/page.tsx,app/en/tools/ai-tools-database/layout.tsx,
/en/tools/cli-coding-agents-comparison,en,tools,cli-coding-agents-comparison,"CLI Coding Agents Compared — Claude Code, Mistral Vibe, Gemini CLI, Codex CLI","Comprehensive comparison of CLI Coding Agents: Claude Code, Mistral Vibe, Gemini CLI and OpenAI Codex CLI. Features, pricing, GDPR compliance and hands-on tests.",/images/hero-2026-08/en/tools/cli-coding-agents-comparison.webp,,ja,/tools/cli-coding-agents-vergleich,app/en/tools/cli-coding-agents-comparison/page.tsx,app/en/tools/cli-coding-agents-comparison/page.tsx,
/en/tools/comparison-alternatives,en,tools,comparison-alternatives,Comparable Resources — Where Else You Can Learn,"Honest comparison: Which external sources are better than our wiki in certain areas. EU Commission, WKO, n8n, Hugging Face, NIST, OECD and more.",/images/hero-2026-08/en/tools/comparison-alternatives.webp,,ja,/tools/vergleich-alternativen,app/en/tools/comparison-alternatives/page.tsx,app/en/tools/comparison-alternatives/page.tsx,
/en/tools/docker-grundlagen,en,tools,docker-grundlagen,"Docker Basics: Containers, Compose & Swarm","Understand Docker for AI workloads: Containers vs VMs, Docker Compose for local stacks, Docker Swarm for multi-node deployments. Hands-on guide.",/images/hero-2026-08/en/tools/docker-grundlagen.webp,/images/diagrams/tools-docker-architektur.png,ja,/tools/docker-grundlagen,app/en/tools/docker-grundlagen/page.tsx,app/en/tools/docker-grundlagen/page.tsx,
/en/tools/docker-vs-swarm,en,tools,docker-vs-swarm,Docker vs Docker Swarm for AI,"Which is right for AI? Compose for development, Swarm for production.",/images/hero-2026-08/en/tools/docker-vs-swarm.webp,/images/generated/hero-docker-container.png,ja,/tools/docker-vs-swarm,app/en/tools/docker-vs-swarm/page.tsx,app/en/tools/docker-vs-swarm/page.tsx,
/en/tools/grafana-monitoring,en,tools,grafana-monitoring,Grafana Monitoring,"Monitoring with Prometheus + Grafana. Dashboards, alerts.",/images/hero-2026-08/en/tools/grafana-monitoring.webp,/images/generated/hero-grafana-monitoring.png,ja,/tools/grafana-monitoring,app/en/tools/grafana-monitoring/page.tsx,app/en/tools/grafana-monitoring/page.tsx,
/en/tools/mattermost-agent,en,tools,mattermost-agent,Mattermost AI Agent,"Build an AI agent for Mattermost chat. Bot setup, prompts.",/images/hero-2026-08/en/tools/mattermost-agent.webp,,ja,/tools/mattermost-agent,app/en/tools/mattermost-agent/page.tsx,app/en/tools/mattermost-agent/page.tsx,
/en/tools/mcp-server,en,tools,mcp-server,MCP Server,Model Context Protocol. Connect Claude to your infrastructure.,/images/hero-2026-08/en/tools/mcp-server.webp,/images/diagrams/tools-mcp-architektur.png,ja,/tools/mcp-server,app/en/tools/mcp-server/page.tsx,app/en/tools/mcp-server/page.tsx,
/en/tools/model-selection,en,tools,model-selection,Model Selection Guide,Choose the right AI model for your use case — from Llama to Mistral.,/images/hero-2026-08/en/tools/model-selection.webp,/images/diagrams/tools-model-entscheidungsbaum.png,ja,/tools/model-selection,app/en/tools/model-selection/page.tsx,app/en/tools/model-selection/page.tsx,
